행정동,행정동코드,인구_대체값_총인구,소득지출비율,회전율,평균영업기간_최근10년,프랜차이즈비율,평균유동인구,팝업비율,팝업강도,위험도점수,위험도백분위,보조강도점수,위험등급
행당1동,1120056000,14032,0.4568100025543091,0.06,3.3,0.1204938078578105,31673.59617419353,,,78.08235294117647,1.0,66.0553426687367,상
왕십리도선동,1120053500,26544,0.3851318528453365,0.062,3.5,0.09807453701144264,26423.9675,,,74.95882352941177,0.9411764705882353,66.39833299083699,상
사근동,1120055000,14134,0.6134443490108669,0.078,3.5,0.195575999588218,22204.453535483834,,,73.47058823529412,0.8823529411764706,78.52178574122209,상
성수1가2동,1120066000,11927,0.5883930045442213,0.07,3.3,0.06048366509382824,25565.958206451596,0.004993191103041307,792.0,69.74852941176471,0.8235294117647058,64.61085086760662,상
성수2가3동,1120069000,9884,0.4244007607845444,0.068,3.5,0.0671853907947518,48364.626699999964,0.009334537789822343,744.0,64.05000000000001,0.7647058823529411,66.47888168661719,상
옥수동,1120064500,25548,0.3290117907659333,0.057,3.6,0.09308915720242561,23984.807451612854,,,60.15882352941176,0.7058823529411765,58.757538244160635,중
왕십리2동,1120052000,16333,0.2851564101049883,0.065,3.3,0.09600109594152001,11990.600312903209,,,60.07058823529412,0.6470588235294118,51.42976283766439,중
성수2가1동,1120067000,14610,0.4405891518071419,0.053,3.4,0.05687538388714438,22409.099177419328,0.008009858287122612,351.0,56.58676470588235,0.5882352941176471,51.81195836372833,중
성수1가1동,1120065000,15501,0.4501916019212827,0.058,3.5,0.06609317175863981,21443.11065,0.006650041562759767,288.0,54.94117647058824,0.5294117647058824,50.759617254420974,중
금호2·3가동,1120061500,21329,0.330714,0.052,3.4,0.09360274785543382,16514.309458064483,,,54.1,0.47058823529411764,52.442098796823934,중
행당2동,1120057000,22716,0.2925695608892221,0.055,3.6,0.1269883209600393,14221.930809677404,,,53.23529411764706,0.4117647058823529,52.14522763793576,중
금호4가동,1120062000,14235,0.2205170461483939,0.054,3.3,0.09945755458753194,11339.87613,,,45.82941176470589,0.35294117647058826,42.11727745303844,중
금호1가동,1120059000,14680,0.2498137841696307,0.048,3.5,0.08858708752300397,12966.642319354816,,,36.11176470588235,0.29411764705882354,38.046547595317726,중
용답동,1120079000,13044,0.1180646640891747,0.056,3.5,0.05432317658809559,17145.292561290302,,,32.85294117647059,0.23529411764705882,36.1209891635663,하
마장동,1120054000,22074,0.2319146246618888,0.042,4.3,0.02380780588959976,17880.375112903184,,,28.67058823529412,0.17647058823529413,25.4137092929142,하
응봉동,1120058000,14798,0.2695928605287502,0.05,3.7,0.07078126172222846,7514.231374193544,,,27.252941176470593,0.11764705882352941,28.009000711575766,하
송정동,1120072000,9900,0.2212673102318388,0.045,3.4,0.03448265703410795,8773.855687096771,,,20.7,0.058823529411764705,21.510826349254238,하
