"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20253","11740700","둔촌2동","3414406","07","4506159000","784969000","83869000","136089000","569119000","868999000","150756000","28047000","303222000","335144000","1245945000"
"20253","11740690","둔촌1동","3596734","07","24319000","8892000","620000","0","0","0","3587000","0","5894000","2084000","3242000"
"20253","11740685","길동","2840603","06","12816843000","3334686000","114347000","415497000","3178451000","148421000","421273000","506382000","742858000","491356000","3463572000"
"20253","11740660","성내3동","2897346","06","7999998000","1610288000","207265000","51381000","1447738000","294457000","464505000","166993000","512525000","377892000","2866954000"
"20253","11740650","성내2동","2824592","06","7327192000","1540489000","519876000","124933000","2296798000","158866000","166640000","159410000","261968000","176972000","1921240000"
"20253","11740640","성내1동","3438376","07","6420443000","999515000","354762000","114828000","1845939000","650943000","191412000","62985000","388944000","248218000","1562897000"
"20253","11740620","천호3동","3165328","07","6355660000","882675000","123274000","61642000","2597947000","17131000","110043000","217761000","504491000","352688000","1488008000"
"20253","11740610","천호2동","2749741","06","74578911000","1461150000","158103000","124852000","2801500000","384870000","134651000","598563000","64922766000","619739000","3372717000"
"20253","11740600","천호1동","2473111","06","3324925000","897203000","90251000","55076000","605849000","32005000","254977000","32009000","224571000","143692000","989292000"
"20253","11740590","암사3동","4470889","08","1754291000","535895000","21838000","27376000","212006000","10482000","385688000","0","145278000","95922000","319806000"
"20253","11740580","암사2동","3688535","07","2902861000","525382000","15527000","25741000","613618000","124712000","234168000","43265000","241703000","117286000","961459000"
"20253","11740570","암사1동","2852157","06","6730150000","3016804000","93031000","36967000","844177000","486027000","190475000","156699000","270087000","299396000","1336487000"
"20253","11740560","고덕2동","2465499","06","2980426000","921236000","23417000","52790000","826689000","31770000","400378000","14131000","95563000","114951000","499501000"
"20253","11740550","고덕1동","4618641","08","1765942000","881185000","17661000","9357000","159658000","22411000","250123000","10954000","70398000","50232000","293963000"
"20253","11740540","명일2동","4514278","08","7136615000","941995000","32626000","7350000","2050869000","20261000","2128087000","41606000","370389000","184382000","1359050000"
"20253","11740530","명일1동","3540203","07","7354351000","1845160000","109772000","42587000","1786024000","62264000","842244000","190721000","270385000","262250000","1942944000"
"20253","11740520","상일동","3690212","07","3553740000","1337941000","26730000","6033000","330375000","67586000","264807000","60638000","557703000","67739000","834188000"
"20253","11740515","강일동","3073250","07","3594286000","1354259000","8953000","22801000","614033000","311791000","395829000","2916000","192717000","85072000","605915000"
"20253","11710720","잠실7동","6014516","09","526186000","200962000","8562000","61615000","24980000","468000","33039000","0","118055000","5455000","73050000"
"20253","11710710","잠실6동","5237775","09","38670504000","2831360000","387012000","29091000","7150519000","302154000","215741000","18992000","22589691000","881303000","4264641000"
"20253","11710690","잠실4동","6007987","09","1759487000","610277000","20637000","1617000","540450000","2061000","189411000","3588000","69277000","92454000","229715000"
"20253","11710680","잠실3동","5452682","09","8490623000","1094390000","235817000","90939000","1338888000","2759000","305029000","121504000","4079228000","452545000","769524000"
"20253","11710670","잠실2동","6352641","09","3895089000","783520000","95925000","12545000","1349317000","12218000","512948000","0","452325000","193031000","483260000"
"20253","11710650","잠실본동","3079387","07","18611799000","3052100000","115041000","139080000","4012509000","1427955000","750623000","862372000","1675874000","700250000","5875995000"
"20253","11710647","위례동","4202887","08","4434520000","759564000","57194000","7162000","436023000","932164000","741167000","26870000","223233000","178687000","1072456000"
"20253","11710646","장지동","3263464","07","3860305000","1360250000","32158000","30238000","542828000","357186000","463685000","53575000","208345000","90013000","722027000"
"20253","11710642","문정2동","4425648","08","21788824000","3231876000","3418489000","1757313000","4760578000","994895000","324242000","300415000","1072790000","961190000","4967036000"
"20253","11710641","문정1동","3568357","07","3477814000","1041644000","112001000","33702000","362155000","105432000","170177000","101585000","412656000","89547000","1048915000"
"20253","11710632","가락2동","3910198","08","6400931000","1734831000","40664000","66534000","1471258000","379772000","558370000","70980000","345790000","275969000","1456763000"
"20253","11710631","가락1동","4973588","09","6226197000","3381885000","60035000","149531000","782308000","10932000","265837000","12802000","195735000","457130000","910002000"
"20253","11710620","가락본동","3521561","07","9896719000","1432858000","143530000","167382000","2880748000","290274000","173304000","455699000","750873000","310016000","3292035000"
"20253","11710610","삼전동","2779980","06","7824613000","1741281000","92083000","262562000","1463815000","226810000","831143000","88886000","768278000","579083000","1770672000"
"20253","11710600","석촌동","2927911","06","11224386000","2672824000","234925000","83691000","2073015000","1046685000","573627000","270569000","662510000","550284000","3056256000"
"20253","11710590","송파2동","4370970","08","3329403000","724570000","27570000","278357000","387967000","780788000","366307000","15838000","163944000","79873000","504189000"
"20253","11710580","송파1동","3129216","07","9248711000","1714311000","145855000","88398000","1487849000","112439000","357667000","224190000","572588000","622786000","3922628000"
"20253","11710570","오금동","3510674","07","6861823000","1687300000","46904000","191900000","1158916000","805101000","799550000","72519000","380288000","128917000","1590428000"
"20253","11710566","오륜동","6095160","09","2469788000","938264000","59819000","7389000","167107000","21560000","188761000","14026000","511342000","41234000","520286000"
"20253","11710562","방이2동","2928271","06","141915821000","2382655000","121409000","-537000","2367332000","425200000","1057362000","866021000","126737704000","567101000","7391574000"
"20253","11710561","방이1동","3970520","08","5827543000","584611000","85689000","15925000","849555000","313466000","1932512000","92389000","164655000","162966000","1625775000"
"20253","11710550","마천2동","2339431","05","3721593000","1519174000","105949000","55355000","801679000","147825000","59961000","102007000","103778000","71948000","753917000"
"20253","11710540","마천1동","2435636","05","1403349000","611966000","36275000","48006000","358090000","47095000","51088000","30219000","34280000","25431000","160899000"
"20253","11710532","거여2동","3033238","07","3326605000","1008362000","23890000","24380000","780585000","34778000","128618000","72096000","258019000","146073000","849804000"
"20253","11710531","거여1동","2789100","06","1894025000","523568000","9800000","52155000","289979000","87376000","140151000","109019000","72721000","80355000","528901000"
"20253","11710520","풍납2동","3891704","08","5470528000","1060746000","11656000","10707000","3083177000","117106000","202878000","27835000","515396000","63858000","377169000"
"20253","11710510","풍납1동","3011150","07","1577260000","478216000","16187000","231612000","82403000","15644000","62419000","34291000","68956000","283642000","303890000"
"20253","11680750","수서동","3847379","08","153961613000","990921000","89130000","2702000","2348078000","19687150000","68264000","54745000","128984034000","135225000","1601364000"
"20253","11680740","일원2동","4553185","08","1312418000","500673000","11467000","13753000","229827000","82217000","101203000","6353000","75028000","39327000","252570000"
"20253","11680730","일원1동","3022931","07","2737078000","566347000","22036000","27516000","717201000","224171000","70395000","86840000","123719000","64880000","833973000"
"20253","11680720","일원본동","5444886","09","5194875000","797897000","8523000","10916000","3143448000","4115000","228709000","0","220805000","105588000","674874000"
"20253","11680700","세곡동","3885403","08","5790364000","1529351000","45724000","66895000","742438000","822357000","739565000","23485000","315728000","326935000","1177886000"
"20253","11680690","개포4동","3550527","07","3463952000","881293000","51659000","120656000","653348000","158045000","179587000","31388000","250098000","312962000","824916000"
"20253","11680670","개포2동","5195802","09","2354478000","749844000","32746000","8174000","442028000","20200000","260528000","47315000","157920000","126491000","509232000"
"20253","11680660","개포1동","5336373","09","395766000","97896000","8975000","1714000","252704000","0","9914000","0","3857000","7064000","13642000"
"20253","11680656","도곡2동","6567504","09","76007215000","1297326000","145962000","99629000","956360000","273281000","595268000","76298000","69281691000","568850000","2712550000"
"20253","11680655","도곡1동","5412484","09","36065281000","973249000","29082000","91032000","11683384000","817522000","514845000","44589000","19934505000","297007000","1680066000"
"20253","11680650","역삼2동","5367397","09","692091666000","2032696000","186348000","176070000","4709190000","496299000","759957000","171567000","155974341000","523889014000","3696184000"
"20253","11680640","역삼1동","3607265","07","1350624136000","7393588000","2720487000","884110000","32449531000","519919000","5490196000","2750916000","1110341344000","168613434000","19460611000"
"20253","11680630","대치4동","4101144","08","190207750000","2330185000","229126000","171936000","2912894000","350603000","7413909000","491986000","983626000","170082586000","5240899000"
"20253","11680610","대치2동","6017362","09","25199954000","2119943000","6245617000","242532000","4283466000","431488000","6048621000","147828000","1446136000","925765000","3308558000"
"20253","11680600","대치1동","7421305","10","11649936000","1252960000","19810000","2130000","2259640000","17699000","5005859000","32995000","1286609000","441091000","1331143000"
"20253","11680590","삼성2동","5055114","09","15906578000","2989776000","789343000","75799000","2528940000","202290000","4588088000","315126000","1168314000","649879000","2599023000"
"20253","11680580","삼성1동","5098096","09","36249730000","1897740000","8027887000","583497000","4747515000","267402000","342990000","257618000","10981019000","4146093000","4997969000"
"20253","11680565","청담동","5010204","09","30832172000","2200216000","3206795000","453946000","10449611000","1086650000","402666000","686102000","1635069000","5630187000","5080930000"
"20253","11680545","압구정동","5808537","09","39407949000","2321652000","2514335000","284943000","13608057000","286667000","2206382000","977925000","7339068000","2621453000","7247467000"
"20253","11680531","논현2동","3973993","08","25574264000","3243278000","1024028000","1295553000","7283120000","752199000","703542000","790778000","2638243000","2064877000","5778646000"
"20253","11680521","논현1동","3277066","07","40560965000","2513496000","420852000","457738000","16926228000","184794000","1700010000","949069000","10120193000","1519913000","5768672000"
"20253","11680510","신사동","5099915","09","37927115000","1792088000","1279675000","96113000","18510288000","361017000","1075626000","791162000","6585389000","1490765000","5944992000"
"20253","11650660","내곡동","4047063","08","3063981000","665288000","19810000","98029000","298497000","657909000","127796000","13608000","374571000","59291000","749182000"
"20253","11650652","양재2동","3222382","07","10438645000","2647084000","87454000","100618000","1485227000","762255000","807351000","165397000","667022000","275768000","3440469000"
"20253","11650651","양재1동","4173236","08","10576091000","1840720000","192374000","105777000","2335122000","602145000","605411000","278868000","757531000","798245000","3059898000"
"20253","11650621","방배4동","4557937","08","6833355000","919510000","136815000","59019000","2168092000","209292000","544252000","74712000","503799000","426116000","1791748000"
"20253","11650620","방배3동","4681587","08","4552422000","455329000","32979000","37965000","3002001000","146114000","199002000","4724000","141059000","111699000","421550000"
